id,value
flare,
flare.analytics,
flare.analytics.cluster,
flare.analytics.cluster.ConsumerDiscretionary,3423
flare.animate,
flare.animate.ConsumerStaples,17010
flare.data,
flare.data.converters,
flare.data.converters.Energy,721
flare.flex,
flare.flex.Financials,4116
flare.physics,
flare.physics.HealthCare,1082
flare.query,
flare.query.Industrials,1616
flare.scale,
flare.scale.InformationTechnology,2105
flare.util,
flare.util.Materials,8258
flare.vis,
flare.vis.axis,
flare.vis.axis.RealEstate,1302
flare.ai,
flare.ai.TelecommuncationServices,12321
flare.ut,
flare.ut.Utilities,5542
